seq,group,folder,ordinal,member,neutral_file,path,top,ok_broad,review,instrument_steal,status,final_source,shape,raw_consensus,raw_family,seconds,error,verification_note,third_party_enabled_rerun
28,1,one_shot_percussive_sounds/1,78,one_shot_percussive_sounds/1/13910.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00078.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.32,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
29,1,one_shot_percussive_sounds/1,79,one_shot_percussive_sounds/1/13912.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00079.wav,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.42,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
30,1,one_shot_percussive_sounds/1,80,one_shot_percussive_sounds/1/13913.wav,/mnt/data/perc_v31169_run3/neutral_extract/g01/neutral_g01_00080.wav,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,texture_bed,,,0.6,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,yes
31,2,one_shot_percussive_sounds/2,76,one_shot_percussive_sounds/2/102795.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00076.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.39,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
32,2,one_shot_percussive_sounds/2,77,one_shot_percussive_sounds/2/102796.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00077.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.41,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
33,2,one_shot_percussive_sounds/2,78,one_shot_percussive_sounds/2/102798.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00078.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.37,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
34,2,one_shot_percussive_sounds/2,79,one_shot_percussive_sounds/2/103014.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00079.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.35,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
35,2,one_shot_percussive_sounds/2,80,one_shot_percussive_sounds/2/103019.wav,/mnt/data/perc_v31169_run3/neutral_extract/g02/neutral_g02_00080.wav,Drums/Kick Drums/Generic Kick/One Shots,Drums,True,False,False,final_measured_kick_one_shot_invariant,,hit_with_tail,,,1.34,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
36,3,one_shot_percussive_sounds/3,76,one_shot_percussive_sounds/3/143515.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00076.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.38,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
37,3,one_shot_percussive_sounds/3,77,one_shot_percussive_sounds/3/143516.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00077.wav,Drums/Rims and Sticks/Generic Rim or Stick/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.48,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
38,3,one_shot_percussive_sounds/3,78,one_shot_percussive_sounds/3/143517.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00078.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.3,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
39,3,one_shot_percussive_sounds/3,79,one_shot_percussive_sounds/3/143518.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00079.wav,Drums/Toms/Generic Tom/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,hit_with_tail,,,1.34,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
40,3,one_shot_percussive_sounds/3,80,one_shot_percussive_sounds/3/143519.wav,/mnt/data/perc_v31169_run3/neutral_extract/g03/neutral_g03_00080.wav,Drums/Snares/Generic Snare/One Shots,Drums,True,False,False,final_measured_protected_percussive_parent_claim,,single_hit,,,1.45,,bulk_screened_third_party_disabled; failures_rerun_enabled_before_fix,no
