index,zip_member,folder_path,top_family,status,audit_status,seconds,reason,error
1,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Distorted Slasher_keyBbmin.wav,_TO_REVIEW/Shape Conflict,_TO_REVIEW,OK,FAIL_REVIEW,8.744,raw shared winner conflicted with measured temporal shape beat_loop=0.94 and no compatible shared candidate had enough raw support,
2,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Reverse Heartbeat.wav,Instruments/Bass/Bass Loops,Instruments,OK,FAIL_INSTRUMENT,7.915,"raw consensus was incompatible with measured parent eligibility: role=bass_loop, confidence=0.89; raw=FX/Human and Voice FX/Breath/Long FX; fallback=Instruments/Bass/Bass Loops; measured bass loop; kick/drum/FX leaves are not eligible",
